trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
21007992,2018-10-02 13:30:29,2018-10-02 13:35:01,875,272.0,312,Clarendon Ave & Gordon Ter,231.0,Sheridan Rd & Montrose Ave,Subscriber,Male,1958.0
21007994,2018-10-02 13:30:30,2018-10-02 14:41:30,2357,"4,260.0",161,Rush St & Superior St,161.0,Rush St & Superior St,Customer,,
21007995,2018-10-02 13:30:34,2018-10-02 13:33:11,2506,157.0,285,Wood St & Hubbard St,119.0,Ashland Ave & Lake St (Temp),Subscriber,Male,1971.0
21007997,2018-10-02 13:30:37,2018-10-02 13:43:00,6104,743.0,210,Ashland Ave & Division St,383.0,Ashland Ave & Harrison St,Subscriber,Male,1989.0
21007999,2018-10-02 13:30:43,2018-10-02 13:33:52,3767,189.0,234,Clark St & Montrose Ave,231.0,Sheridan Rd & Montrose Ave,Subscriber,Female,1992.0
21008001,2018-10-02 13:30:50,2018-10-02 13:37:40,4450,410.0,92,Carpenter St & Huron St,112.0,Green St & Randolph St,Subscriber,Male,1968.0
21008002,2018-10-02 13:30:58,2018-10-02 13:59:42,3672,"1,724.0",643,Smith Park (*),154.0,Southport Ave & Belmont Ave,Subscriber,Female,1984.0
21008004,2018-10-02 13:31:19,2018-10-02 13:34:08,127,169.0,67,Sheffield Ave & Fullerton Ave,349.0,Halsted St & Wrightwood Ave,Subscriber,Male,1991.0
21008005,2018-10-02 13:31:27,2018-10-02 13:37:05,3339,338.0,128,Damen Ave & Chicago Ave,285.0,Wood St & Hubbard St,Subscriber,Male,1996.0
21008006,2018-10-02 13:31:27,2018-10-02 13:38:56,249,449.0,107,Desplaines St & Jackson Blvd,21.0,Aberdeen St & Jackson Blvd,Subscriber,Male,1979.0
21008007,2018-10-02 13:31:30,2018-10-02 13:37:39,3696,369.0,133,Kingsbury St & Kinzie St,73.0,Jefferson St & Monroe St,Subscriber,Male,1981.0
21008008,2018-10-02 13:31:29,2018-10-02 13:40:51,3208,562.0,623,Michigan Ave & 8th St,283.0,LaSalle St & Jackson Blvd,Subscriber,Female,1993.0
21008009,2018-10-02 13:31:35,2018-10-02 13:55:33,3193,"1,438.0",143,Sedgwick St & Webster Ave,283.0,LaSalle St & Jackson Blvd,Subscriber,Male,1956.0
21008010,2018-10-02 13:31:51,2018-10-02 13:38:50,1907,419.0,283,LaSalle St & Jackson Blvd,41.0,Federal St & Polk St,Subscriber,Male,1992.0
21008011,2018-10-02 13:32:10,2018-10-02 13:46:12,6335,842.0,321,Wabash Ave & 9th St,337.0,Clark St & Chicago Ave,Subscriber,Female,1987.0
21008012,2018-10-02 13:32:23,2018-10-02 13:51:40,4665,"1,157.0",134,Peoria St & Jackson Blvd,346.0,Ada St & Washington Blvd,Subscriber,Male,1957.0
21008013,2018-10-02 13:32:27,2018-10-02 14:18:58,6041,"2,791.0",59,Wabash Ave & Roosevelt Rd,24.0,Fairbanks Ct & Grand Ave,Customer,Male,1972.0
